id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
127,Médecine et chirurgie,NEPHRO003,Mme Chen présente une oligurie avec créatinine à 400 μmol/L et œdèmes déclives.,1,Cette insuffisance rénale nécessite:,Augmentation des apports hydriques,Restriction hydrique et sodée,Diurétiques de l'anse,Hémodialyse immédiate,B,Correct! L'insuffisance rénale avec œdèmes nécessite une restriction hydro-sodée.,La rétention hydro-sodée de l'insuffisance rénale impose des restrictions alimentaires.
128,Hors sujet OIIQ – à réviser,NEPHRO003,,2,Quel signe indique la nécessité d'une dialyse urgente?,Créatinine élevée,Œdème pulmonaire,Fatigue importante,Nausées,B,Parfait! L'œdème pulmonaire par surcharge est une indication de dialyse en urgence.,La surcharge hydrique avec OAP nécessite une épuration extra-rénale immédiate.
129,Gestion et organisation des soins,URG004,Un enfant de 4 ans est retrouvé inconscient près d'un flacon de médicaments vide de sa grand-mère.,1,Quelle est votre priorité immédiate?,Identifier le produit ingéré,Provoquer des vomissements,Maintenir les fonctions vitales,Administrer du charbon activé,C,Correct! En intoxication pédiatrique la priorité absolue est la stabilisation des fonctions vitales.,Le maintien des fonctions vitales prime sur l'identification du toxique en urgence.
130,Hors sujet OIIQ – à réviser,URG004,,2,Que ne devez-vous jamais faire?,Donner à boire,Provoquer des vomissements,Surveiller la conscience,Appeler le centre antipoison,B,Exact! Les vomissements provoqués peuvent aggraver les lésions en cas de produit caustique.,Les vomissements forcés sont contre-indiqués car ils peuvent aggraver les lésions œsophagiennes.
131,Pédiatrie,CALC011,,1,Un enfant de 20 kg doit recevoir du furosémide 1 mg/kg. Vous avez des ampoules de 20 mg/2 mL. Quel volume administrez-vous?,1 mL,2 mL,0.5 mL,4 mL,B,Correct! 20 kg × 1 mg/kg = 20 mg. 20 mg correspondent à 2 mL d'une ampoule de 20 mg/2 mL.,Dose = poids × dose/kg puis volume = dose ÷ concentration.
132,Hors sujet OIIQ – à réviser,HEMA002,M. Garon sous warfarine présente des ecchymoses multiples et des saignements gingivaux. INR = 6.,1,Quelle conduite adoptez-vous?,Continuer la warfarine,Diminuer la dose de warfarine,Arrêter la warfarine et donner vitamine K,Doubler la dose de warfarine,C,Correct! Un INR > 5 avec saignements nécessite l'arrêt et l'administration de vitamine K.,Un surdosage en anticoagulants avec hémorragies impose l'antidote (vitamine K).
133,Hors sujet OIIQ – à réviser,HEMA002,,2,Quelle surveillance renforcez-vous?,Les signes de thrombose,Les signes d'hémorragie grave,L'efficacité cardiaque,La fonction hépatique,B,Parfait! Avec un INR élevé et des saignements la surveillance hémorragique est prioritaire.,Un patient en surdosage anticoagulant risque des hémorragies potentiellement mortelles.
134,Hors sujet OIIQ – à réviser,GASTRO002,Mme Roy présente des douleurs épigastriques intenses irradiant dans le dos avec vomissements.,1,Ce tableau clinique évoque:,Un ulcère gastrique,Une pancréatite aiguë,Une cholécystite,Un reflux gastro-œsophagien,B,Correct! Douleur épigastrique transfixiante avec vomissements évoque une pancréatite aiguë.,La douleur épigastrique irradiant dans le dos est caractéristique de la pancréatite.
135,Hors sujet OIIQ – à réviser,GASTRO002,,2,Quel examen biologique demandez-vous?,Amylasémie,Transaminases,Bilirubine,Créatinine,A,Exact! L'élévation de l'amylase confirme le diagnostic de pancréatite aiguë.,L'amylasémie est le marqueur biologique principal de la pancréatite aiguë.
136,Hors sujet OIIQ – à réviser,GYNECO001,Julie 22 ans consulte pour des pertes vaginales malodorantes avec prurit vulvaire.,1,Quel prélèvement réalisez-vous?,Frottis cervical,Prélèvement vaginal pour culture,Biopsie vulvaire,Aucun prélèvement,B,Correct! Un prélèvement vaginal identifie le germe responsable et guide le traitement.,Les pertes vaginales anormales nécessitent un prélèvement bactériologique pour diagnostic.
137,Hors sujet OIIQ – à réviser,GYNECO001,,2,En attendant les résultats quel traitement proposez-vous?,Antifongique systémique,Antibiotique local,Aucun traitement,Traitement symptomatique,D,Parfait! En attendant les résultats seuls les soins d'hygiène et le soulagement symptomatique sont indiqués.,Il faut éviter les traitements empiriques qui peuvent masquer l'agent pathogène.
138,Hors sujet OIIQ – à réviser,OPHTA001,M. Vincent 60 ans présente brutalement une baisse d'acuité visuelle avec métamorphopsies.,1,Vous suspectez:,Un glaucome aigu,Une cataracte,Une DMLA exsudative,Un décollement rétinien,C,Correct! Baisse d'acuité brutale avec déformation des images évoque une DMLA exsudative.,Les métamorphopsies (déformation des lignes) sont caractéristiques de la DMLA exsudative.
139,Hors sujet OIIQ – à réviser,OPHTA001,,2,Quelle prise en charge proposez-vous?,Surveillance simple,Chirurgie immédiate,Consultation ophtalmologique urgente,Collyre anti-inflammatoire,C,Parfait! La DMLA exsudative nécessite un traitement spécialisé urgent pour préserver la vision.,La DMLA exsudative peut bénéficier d'injections intra-vitréennes si prise en charge rapidement.
140,Hors sujet OIIQ – à réviser,ORTHO001,Un sportif présente une douleur et gonflement du genou après un tackle au rugby.,1,Quel signe recherchez-vous pour suspecter une rupture ligamentaire?,Impossibilité d'extension,Tiroir antérieur positif,Douleur à la palpation,Impossibilité de flexion,B,Correct! Le tiroir antérieur teste la stabilité du ligament croisé antérieur.,Le test du tiroir antérieur évalue l'intégrité du ligament croisé antérieur.
141,Urgences / Soins critiques,ORTHO001,,2,Quelle immobilisation réalisez-vous en urgence?,Plâtre circulaire,Attelle amovible,Pas d'immobilisation,Strapping,B,Exact! Une attelle amovible immobilise temporairement en attendant l'évaluation spécialisée.,L'immobilisation temporaire protège le genou en attendant le bilan lésionnel complet.
142,Pharmacologie / Calculs,CALC012,,1,Vous devez diluer 1 ampoule de KCl 7.46% (10 mL) dans 500 mL de NaCl. Quelle est la concentration finale en %?,0.15%,1.5%,0.015%,15%,A,Correct! 7.46% × 10 mL ÷ 510 mL = 0.146% ≈ 0.15%.,Concentration = (concentration initiale × volume initial) ÷ volume total final.
143,Hors sujet OIIQ – à réviser,DERMO003,Un patient présente des lésions vésiculeuses douloureuses en bande sur l'hémi-thorax droit.,1,Vous diagnostiquez:,Un eczéma de contact,Un zona intercostal,Un impétigo,Un herpès génital,B,Correct! Les vésicules douloureuses en bande suivent la distribution d'un nerf et évoquent un zona.,Le zona se manifeste par des vésicules sur le trajet d'un dermatome.
144,Hors sujet OIIQ – à réviser,DERMO003,,2,Quel traitement instaurez-vous?,Corticoïdes topiques,Antiviraux per os,Antibiotiques locaux,Aucun traitement,B,Parfait! Les antiviraux réduisent la durée et l'intensité du zona s'ils sont débutés précocement.,Le traitement antiviral précoce diminue le risque de douleurs post-zostériennes.
145,Hors sujet OIIQ – à réviser,ADDIC001,M. Bernard alcoolique chronique présente des tremblements et sueurs 12h après son dernier verre.,1,Ces signes évoquent:,Une intoxication alcoolique,Un syndrome de sevrage,Une hypoglycémie,Une infection,B,Correct! Tremblements et sueurs 12h après l'arrêt évoquent un syndrome de sevrage alcoolique.,Le sevrage alcoolique débute 6-12h après l'arrêt avec tremblements et sueurs.
146,Hors sujet OIIQ – à réviser,ADDIC001,,2,Quel traitement préventif administrez-vous?,Alcool dilué,Benzodiazépines,Neuroleptiques,Vitamine B1,D,Exact! La vitamine B1 prévient l'encéphalopathie de Gayet-Wernicke chez l'alcoolique.,La thiamine prévient les complications neurologiques graves du sevrage alcoolique.
147,Hors sujet OIIQ – à réviser,REEDU001,Mme Caron post-AVC présente une hémiparésie gauche. Elle refuse la kinésithérapie.,1,Comment l'encouragez-vous?,En insistant sur l'obligation,En expliquant les bénéfices,En la culpabilisant,En abandonnant,B,Correct! L'explication pédagogique des bénéfices favorise l'adhésion thérapeutique.,L'éducation thérapeutique améliore la compliance et la motivation du patient.
148,Gestion et organisation des soins,REEDU001,,2,Quel professionnel impliquez-vous prioritairement?,Psychologue,Ergothérapeute,Orthophoniste,Assistant social,B,Parfait! L'ergothérapeute aide à récupérer l'autonomie dans les activités de la vie quotidienne.,L'ergothérapie est essentielle pour réapprendre les gestes du quotidien après un AVC.
149,Pharmacologie / Calculs,CALC013,,1,Un patient reçoit de l'héparine 25000 UI/250 mL à 20 mL/h. Quelle dose reçoit-il par heure?,2000 UI/h,200 UI/h,20000 UI/h,500 UI/h,A,Correct! 25000 UI ÷ 250 mL = 100 UI/mL. 20 mL/h × 100 UI/mL = 2000 UI/h.,Concentration × débit = dose par unité de temps.
150,Hors sujet OIIQ – à réviser,PALLI001,M. Durand en phase terminale souffre malgré la morphine. Sa famille demande d'augmenter les doses.,1,Quelle réponse donnez-vous?,Les doses sont suffisantes,On peut augmenter sans risque,Il faut accepter la douleur,C'est de l'euthanasie déguisée,B,Correct! En soins palliatifs on peut augmenter les antalgiques pour soulager même si cela raccourcit la vie.,Le principe du double effet autorise l'augmentation des antalgiques même avec risque vital.
151,Éthique et aspects légaux,PALLI001,,2,Quel principe éthique appliquez-vous?,Non-malfaisance,Autonomie,Proportionnalité thérapeutique,Justice,C,Parfait! La proportionnalité adapte les traitements aux bénéfices attendus en fin de vie.,La proportionnalité évite l'obstination déraisonnable tout en soulageant efficacement.
152,Médecine et chirurgie,MED010,"M. L., 72 ans, OAP aigu : dyspnée au repos, crépitants bilatéraux, SpO2 84% AA, TA 168/92, FC 118.",1,Quelle intervention est prioritaire?,Mettre en position allongée,Administrer O2 haut débit,Donner un anxiolytique,Encourager à boire de l'eau,B,Correct : L'oxygénothérapie corrige l'hypoxémie rapidement.,Incorrect : La priorité est d'améliorer l'oxygénation.
153,Médecine et chirurgie,MED010,"M. L., 72 ans, OAP aigu : dyspnée au repos, crépitants bilatéraux, SpO2 84% AA, TA 168/92, FC 118.",2,Quel signe clinique confirme une amélioration?,SpO2 92% et diminution dyspnée,FC 130/min,Crépitants augmentés,TA 90/60,A,Correct : La saturation qui remonte et la dyspnée qui diminue indiquent une amélioration.,Incorrect : Ces signes n'indiquent pas une amélioration.
154,Pharmacologie / Calculs,MED010,"M. L., 72 ans, OAP aigu : dyspnée au repos, crépitants bilatéraux, SpO2 84% AA, TA 168/92, FC 118.",3,Furosémide 80 mg IV à préparer. Ampoule 10 mg/mL. Quel volume?,4 mL,6 mL,8 mL,10 mL,C,Correct : 80 mg ÷ 10 mg/mL = 8 mL.,Incorrect : Le bon volume est 8 mL.
155,Gériatrie,GER010,"Mme P., 89 ans, confusion aiguë fluctuante depuis 24 h, récemment hospitalisée pour infection urinaire; douleur et déshydratation possibles.",1,Quel facteur contribuant au delirium est le plus probable à rechercher en premier?,Douleur non soulagée,Dépression chronique,Déficit cognitif ancien,Carence en vitamine C,A,Correct : La douleur aiguë non traitée est un déclencheur fréquent du delirium.,Incorrect : Prioriser les causes aiguës et réversibles.
156,Gestion et organisation des soins,GER010,"Mme P., 89 ans, confusion aiguë fluctuante depuis 24 h, récemment hospitalisée pour infection urinaire; douleur et déshydratation possibles.",2,Quelle mesure organisationnelle réduit le risque de chute durant le delirium?,Contention systématique,Assignation d'une cloche d'appel inaccessible,Surveillance rapprochée et environnement dégagé,Interdiction de lever,C,Correct : La surveillance et l'environnement sécuritaire préviennent les chutes.,Incorrect : Les contentions et interdictions augmentent les risques.
157,Périnatalité,PER010,"Mme T., 30 ans, 1 h post-accouchement, saignement abondant, utérus mou, TA 88/54, FC 124.",1,Quelle intervention immédiate prioritaire?,Massage du fond utérin,Appel au gynécologue uniquement,Administration d'antalgiques,Surveillance aux 4 h,A,Correct : Le massage utérin traite l'atonie cause fréquente d'HPP.,Incorrect : La priorité est le massage utérin.
158,Urgences / Soins critiques,PER010,"Mme T., 30 ans, 1 h post-accouchement, saignement abondant, utérus mou, TA 88/54, FC 124.",2,Quel soluté initier en premier?,D5W,"NaCl 0,9% en bolus",Ringer lactate goutte à goutte lent,Aucun,B,Correct : Réanimation volémique rapide avec cristalloïde isotonique.,Incorrect : Il faut restaurer la volémie rapidement.
159,Pédiatrie,PED010,"Bébé de 3 mois, bronchiolite : tirage, geignements, SpO2 89% AA, apports diminués.",1,Première intervention prioritaire?,Position ventrale,Oxygénothérapie,Antibiotique IV,Jeûne strict,B,Correct : L'oxygénothérapie vise à corriger l'hypoxémie.,Incorrect : La priorité est l'oxygénation.
160,Communication et relation thérapeutique,PED010,"Bébé de 3 mois, bronchiolite : tirage, geignements, SpO2 89% AA, apports diminués.",2,Quel conseil aux parents est le plus approprié?,Arrêter toute alimentation 24 h,Fractionner les petits volumes,Donner du jus à volonté,Aucun suivi nécessaire,B,Correct : Les petits volumes réduisent le travail respiratoire et le risque d'aspiration.,Incorrect : Le fractionnement est recommandé.
161,Santé mentale,SM010,"M. R., 28 ans, idées suicidaires avec plan et accès aux moyens; coopérant mais ambivalent.",1,Intervention prioritaire immédiate?,Laisser seul pour réfléchir,Surveillance constante et sécurisation,Appeler la famille seulement,Donner un somnifère,B,Correct : La sécurité et la surveillance sont prioritaires.,Incorrect : La sécurité passe avant tout.
162,Éthique et aspects légaux,SM010,"M. R., 28 ans, idées suicidaires avec plan et accès aux moyens; coopérant mais ambivalent.",2,"Sur le plan légal, quelle action est conforme?",Ignorer son risque s'il nie,Partager systématiquement aux proches sans consentement,Appliquer les protocoles de sécurité et documenter,Menacer d'une hospitalisation punitive,C,Correct : Respect du cadre légal avec documentation des mesures de sécurité.,Incorrect : Il faut appliquer les protocoles et documenter.
163,Urgences / Soins critiques,URG010,"Mme D., 64 ans, suspicion de sepsis : TA 86/54, FC 122, FR 26, T 39, lactate élevé, confusion.",1,Quel geste dans la première heure (survie du sepsis)?,Antibiothérapie IV à large spectre,Attendre l'hémoculture,Perfusion lente,Donner antipyrétique seulement,A,Correct : Débuter l'antibiothérapie IV dans l'heure améliore le pronostic.,Incorrect : L'antibiothérapie IV est prioritaire et rapide.
164,Gestion et organisation des soins,URG010,"Mme D., 64 ans, suspicion de sepsis : TA 86/54, FC 122, FR 26, T 39, lactate élevé, confusion.",2,Quelle organisation des soins est essentielle?,Triage à faible priorité,Activation du protocole sepsis,Reporter le bilan,Transport non monitoré,B,Correct : L'activation du protocole structure les interventions en temps opportun.,Incorrect : Le protocole sepsis doit être activé.
165,Santé communautaire / Santé publique,SP010,"CLSC : Enfant 7 ans, calendrier vaccinal incomplet, parents hésitants.",1,Intervention la plus appropriée?,Forcer la vaccination,Éducation et décision éclairée,Refuser le suivi,Signaler systématiquement,B,Correct : Information neutre et partagée pour décision éclairée.,Incorrect : L'approche éducative est attendue.
166,Communication et relation thérapeutique,SP010,"CLSC : Enfant 7 ans, calendrier vaccinal incomplet, parents hésitants.",2,Stratégie de communication efficace?,Langage alarmiste,Écoute active des préoccupations,Culpabiliser les parents,Ignorer les questions,B,Correct : L'écoute active favorise l'alliance et réduit l'hésitation.,Incorrect : L'écoute est essentielle.
167,Pharmacologie / Calculs,CALC020,"Prescription : Vancomycine 1 g dans 250 mL NaCl 0,9 % en 120 min. Tubulure 15 gtt/mL.",1,Quel est le débit en gouttes/min?,31 gtt/min,16 gtt/min,125 gtt/min,2 gtt/min,A,"Correct : 250 mL/120 min = 2,083 mL/min × 15 = ~31 gtt/min.",Incorrect : Le débit correct est ~31 gtt/min.
168,Pharmacologie / Calculs,CALC020,"Prescription : Vancomycine 1 g dans 250 mL NaCl 0,9 % en 120 min. Tubulure 15 gtt/mL.",2,"Pour un pousse-seringue 1 g/50 mL sur 2 h, débit mL/h ?",50 mL/h,25 mL/h,1 mL/h,100 mL/h,B,Correct : 50 mL / 2 h = 25 mL/h.,Incorrect : Le débit est 25 mL/h.
169,Éthique et aspects légaux,ETH010,"Mme C., 16 ans, souhaite contraception sans informer ses parents; elle est orientée.",1,Quelle conduite respecte la loi et l'éthique?,Exiger autorisation parentale,Refuser le service,Respecter la confidentialité et informer sur options,Prévenir obligatoirement les parents,C,Correct : Confidentialité pour soins liés à la santé sexuelle des mineures.,Incorrect : La confidentialité doit être respectée.
170,Communication et relation thérapeutique,ETH010,"Mme C., 16 ans, souhaite contraception sans informer ses parents; elle est orientée.",2,Quelle approche relationnelle?,Juger sa décision,Écoute empathique et soutien,Dissuader fermement,Menacer d'en parler,B,Correct : L'écoute et le soutien facilitent une décision informée.,Incorrect : L'approche doit être empathique.
171,Gestion et organisation des soins,GES010,"Un quart de soir avec 28 patients, deux infirmières et une CEPI. Plusieurs soins techniques planifiés.",1,Quelle assignation est prioritaire pour la CEPI?,Patients stables avec surveillances simples,Patients instables sous vasopresseurs,Nouveau postop immédiat,Trauma en salle de choc,A,Correct : Les CEPI sont assignées à des patients stables selon leur champ de compétence.,Incorrect : On évite d'assigner des patients instables à une CEPI.
172,Gestion et organisation des soins,GES010,"Un quart de soir avec 28 patients, deux infirmières et une CEPI. Plusieurs soins techniques planifiés.",2,Quel principe de priorisation appliquer?,Ordre d'arrivée,Complexité/instabilité clinique d'abord,Préférences du personnel,Tâches les plus rapides d'abord,B,Correct : Prioriser selon l'instabilité/gravité clinique.,Incorrect : Les priorités se basent sur la gravité.
173,Pédiatrie,PED011,"Enfant 18 mois, diarrhée aiguë, fontanelle déprimée, muqueuses sèches, TA normale, poids -8%.",1,Degré de déshydratation probable?,Légère (<3%),Modérée (3-9%),Sévère (>10%),Impossible à dire,B,Correct : Les signes et la perte de poids de 8% évoquent une déshydratation modérée.,Incorrect : Les données pointent une déshydratation modérée.
174,Santé communautaire / Santé publique,PED011,"Enfant 18 mois, diarrhée aiguë, fontanelle déprimée, muqueuses sèches, TA normale, poids -8%.",2,Conseil de réhydratation à domicile?,Boissons sucrées uniquement,Solution de réhydratation orale fractionnée,Eau pure à volonté,Aucun liquide 6 h,B,Correct : La SRO fractionnée est la recommandation standard.,Incorrect : Utiliser une SRO par petites quantités fréquemment.
175,Urgences / Soins critiques,NEU010,"M. S., 66 ans, dysarthrie, hémiparésie droite, installation < 90 min.",1,Action prioritaire?,Scanner cérébral sans délai,IRM programmée demain,Observation seule,Antalgique et retour maison,A,Correct : Le scanner urgent distingue ischémie d'hémorragie avant thrombolyse.,Incorrect : L'imagerie cérébrale urgente est nécessaire.
176,Communication et relation thérapeutique,NEU010,"M. S., 66 ans, dysarthrie, hémiparésie droite, installation < 90 min.",2,Message clé à la famille?,Le temps n'est pas un facteur,Chaque minute compte pour le cerveau,On verra demain,Il n'y a rien à faire,B,Correct : Le pronostic dépend de la rapidité de prise en charge.,Incorrect : Le facteur temps est crucial.
177,Périnatalité,PER011,"Mme B., 34 SA, céphalées, phosphènes, TA 168/110, protéinurie positive.",1,Complication à prévenir en priorité?,Hémorragie digestive,Éclampsie (convulsions),Thrombose veineuse profonde,Hypoglycémie,B,Correct : Le risque convulsif d'éclampsie est majeur.,Incorrect : Prévention de l'éclampsie prioritaire.
178,Pharmacologie / Calculs,PER011,"Mme B., 34 SA, céphalées, phosphènes, TA 168/110, protéinurie positive.",2,Sulfate de magnésium bolus 4 g sur 20 min. Flacon 20% (200 mg/mL). Volume à administrer?,10 mL,20 mL,5 mL,40 mL,D,Correct : 4 g = 4000 mg; 4000/200 = 20 mL pour 2 g → mais dose est 4 g → 40 mL.,Incorrect : Le volume requis est 40 mL pour 4 g à 200 mg/mL.
179,Santé mentale,SM011,"M. T., 45 ans, tremblements, agitation, TA 160/96, sueurs 12 h après dernier verre.",1,Quel outil de surveillance utiliser?,Score de Glasgow,CIWA-Ar,APGAR,CAM-ICU,B,Correct : CIWA-Ar évalue la sévérité du sevrage alcoolique.,Incorrect : CIWA-Ar est l'outil recommandé.
180,Médecine et chirurgie,SM011,"M. T., 45 ans, tremblements, agitation, TA 160/96, sueurs 12 h après dernier verre.",2,Quel déficit vitaminiques prévenir?,Vitamine C,Thiamine (B1),Vitamine D,Vitamine K,B,Correct : La thiamine prévient l'encéphalopathie de Wernicke.,Incorrect : La B1 est prioritaire en sevrage alcoolique.
181,Urgences / Soins critiques,SCI010,"Jeune adulte polytraumatisé, suspicion d'hémorragie interne, TA 82/48, peau froide, confusion.",1,Priorité selon ABC?,Évaluer neuro en premier,Assurer voie aérienne et oxygénation,Bilan complet de la douleur,Préparer repas,B,Correct : A-B-C d'abord; voie aérienne et oxygénation prioritaire.,Incorrect : ABC priorise l'oxygénation.
182,Gestion et organisation des soins,SCI010,"Jeune adulte polytraumatisé, suspicion d'hémorragie interne, TA 82/48, peau froide, confusion.",2,Organisation la plus appropriée?,Attendre le médecin sans rien faire,Activer code trauma et assigner rôles,Envoyer seul en imagerie,Déléguer à un seul intervenant,B,Correct : L'activation du code trauma coordonne l'équipe et accélère les soins.,Incorrect : Un code trauma structuré est nécessaire.
183,Santé communautaire / Santé publique,SP011,"Clinique jeunesse : adolescent multi-partenaires, rapports non protégés, souhaite dépistage ITSS.",1,Intervention la plus complète?,Dépistage uniquement,Éducation + dépistage + distribution de condoms,Remettre une brochure,Reporter si asymptomatique,B,Correct : Approche intégrée prévention/dépistage/éducation.,Incorrect : Combiner dépistage et prévention.
184,Éthique et aspects légaux,SP011,"Clinique jeunesse : adolescent multi-partenaires, rapports non protégés, souhaite dépistage ITSS.",2,Concernant la confidentialité?,Informer les parents automatiquement,Respecter la confidentialité selon la loi,Refuser l'accès aux soins,Publier les résultats,B,Correct : La confidentialité s'applique aux soins de santé sexuelle.,Incorrect : La loi protège la confidentialité.
185,Pharmacologie / Calculs,CALC021,"Noradrénaline 0,2 mcg/kg/min pour 75 kg. Préparation : 4 mg dans 50 mL (80 mcg/mL).",1,Quel débit en mL/h?,11.3 mL/h,9.0 mL/h,18.0 mL/h,1.1 mL/h,A,"Correct : 0,2×75=15 mcg/min → 900 mcg/h; 900/80 ≈ 11,25 mL/h.","Incorrect : Le débit approché est 11,3 mL/h."
186,Urgences / Soins critiques,MED011,"Patiente DT1, nausées, FR 28, haleine acétonique, glycémie 24 mmol/L, cétonurie positive.",1,Mesure initiale prioritaire?,Insuline IV bolus immédiatement sans bilan,"Hydratation IV NaCl 0,9%",Restriction hydrique,Donner glucides PO,B,Correct : La réhydratation IV est prioritaire dans l'ACD.,Incorrect : Prioriser la réhydratation.
187,Pharmacologie / Calculs,MED011,"Patiente DT1, nausées, FR 28, haleine acétonique, glycémie 24 mmol/L, cétonurie positive.",2,Insuline IV en seringue de 1 U/mL à 6 U/h. Débit mL/h?,"0,6 mL/h",6 mL/h,60 mL/h,1 mL/h,B,Correct : 6 U/h ÷ 1 U/mL = 6 mL/h.,Incorrect : Le débit est 6 mL/h.
188,Gériatrie,GER011,"Mme A., 92 ans, alitée, IMC 17, incontinence; rougeur sacrée persistante.",1,Intervention prioritaire de prévention?,Massage vigoureux de la rougeur,Changement de position q2h,Restriction hydrique,Application d'alcool,B,Correct : Le repositionnement fréquent réduit la pression prolongée.,Incorrect : Le repositionnement est clé.
189,Gestion et organisation des soins,GER011,"Mme A., 92 ans, alitée, IMC 17, incontinence; rougeur sacrée persistante.",2,Quel outil utiliser pour le risque d'escarres?,CIWA-Ar,EVA,Échelle de Braden,Score CHA2DS2-VASc,C,Correct : L'échelle de Braden évalue le risque de lésions de pression.,Incorrect : Utiliser Braden pour le risque d'escarres.
190,Médecine et chirurgie,HEMA010,"M. G., warfarine, gencives qui saignent, INR 6.",1,Conduite prioritaire?,Poursuivre la warfarine,Vitamine K et arrêt temporaire,Doubler la warfarine,Ne rien faire,B,Correct : INR très élevé avec saignements → vitamine K et arrêt.,Incorrect : Il faut corriger le surdosage.
191,Gestion et organisation des soins,HEMA010,"M. G., warfarine, gencives qui saignent, INR 6.",2,Surveillance prioritaire?,Signes d'hémorragie active,Douleur chronique,Sommeil,Appétit,A,Correct : Risque d'hémorragies graves.,Incorrect : La surveillance des saignements est prioritaire.
